NUTS1,dayWeekStart,heart_rate
DE2,2021-03-01,59.490540818265345
DE2,2021-03-08,59.6041109380232
DE2,2021-03-15,59.60695599073993
DE2,2021-03-22,59.9467543118739
DE2,2021-03-29,59.90845406079063
DE2,2021-04-05,59.87431144039798
DE2,2021-04-12,59.686303735611205
DE2,2021-04-19,60.04185537906213
DE2,2021-04-26,59.870657103675434
DE2,2021-05-03,59.878187465792855
DE2,2021-05-10,60.038767484241035
DE2,2021-05-17,59.69858090160199
DE2,2021-05-24,59.869409938116455
DE2,2021-05-31,60.645416280557306
DE2,2021-06-07,60.45773065628116
DE2,2021-06-14,61.14290580393007
DE2,2021-06-21,60.14004608818116
DE2,2021-06-28,59.79809441935244
DE2,2021-07-05,59.7434934362513
DE2,2021-07-12,59.79337548370845
DE2,2021-07-19,60.319493470025385
